# RA = 11 04 27.34(166.11392)
# Dec = +38 12 32.40(38.209)
# Redshift = 0.0
# NH = 1.92E20 
# BeppoSAX Spectra (Giommi et al. 2002) (id = 112)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4770E15     0.0000E00    1.9577E-10   6.5018E-12    57412.91485    57412.918583
1.3440E15     0.0000E00    2.0863E-10   6.9291E-12    57414.097199    57414.100606
1.3440E15     0.0000E00    1.5827E-10   5.2562E-12    57040.547442    57040.55113
1.1380E15     0.0000E00    1.3727E-10   4.5591E-12    57043.491898    57043.497106
1.3440E15     0.0000E00    1.2924E-10   5.0412E-12    57064.122176    57064.123267
5.5500E14     0.0000E00    1.6303E-10   4.7395E-12    57414.096262    57414.097136
1.3440E15     0.0000E00    2.1057E-10   6.9933E-12    57418.025926    57418.029489
1.4770E15     0.0000E00    2.3754E-10   7.8893E-12    56066.159653    56066.164594
1.3440E15     0.0000E00    2.6508E-10   8.8040E-12    55621.310058    55621.313839
1.4770E15     0.0000E00    1.8187E-10   6.0400E-12    56745.252708    56745.257034
1.4770E15     0.0000E00    1.8020E-10   5.9846E-12    55959.432847    55959.43551
1.1380E15     0.0000E00    2.3856E-10   7.9229E-12    55621.31397    55621.31729
1.4770E15     0.0000E00    2.5336E-10   8.4147E-12    55621.306204    55621.309971
1.4770E15     0.0000E00    1.9941E-10   6.6228E-12    55649.214919    55649.218721
1.1380E15     0.0000E00    1.5617E-10   5.1866E-12    55959.43838    55959.440915
1.1380E15     0.0000E00    1.8433E-10   6.1218E-12    55649.222766    55649.226315
1.4770E15     0.0000E00    2.3754E-10   7.8893E-12    56773.116076    56773.120491
1.3440E15     0.0000E00    1.7676E-10   5.8706E-12    55959.435613    55959.438276
1.4770E15     0.0000E00    2.2685E-10   7.5342E-12    56739.05044    56739.054219
1.4770E15     0.0000E00    2.3108E-10   7.6742E-12    55649.083669    55649.087927
1.4770E15     0.0000E00    2.2685E-10   7.5342E-12    55866.820266    55866.824068
8.5630E14     0.0000E00    6.3558E-11   2.1109E-12    53851.954606    53851.955857
1.1380E15     0.0000E00    6.6312E-11   2.2023E-12    53851.952014    53851.954517
1.4770E15     0.0000E00    1.8696E-10   6.2092E-12    55647.269687    55647.273683
1.3440E15     0.0000E00    2.0863E-10   6.9291E-12    56023.527338    56023.531175
1.3440E15     0.0000E00    2.3954E-10   7.9557E-12    56066.164734    56066.169675
1.4770E15     0.0000E00    2.2895E-10   7.6039E-12    57436.156574    57436.160499
1.3440E15     0.0000E00    1.9561E-10   6.4965E-12    56745.257153    56745.261479
1.1380E15     0.0000E00    1.6811E-10   5.5833E-12    56745.261609    56745.26587
1.1380E15     0.0000E00    1.7282E-10   5.7396E-12    55647.277917    55647.281859
1.3440E15     0.0000E00    2.0483E-10   6.8026E-12    55649.218843    55649.222645
1.3440E15     0.0000E00    1.9561E-10   6.4965E-12    55647.273785    55647.277794
1.4770E15     0.0000E00    1.7855E-10   5.9298E-12    55982.348264    55982.352248
1.1380E15     0.0000E00    1.5907E-10   5.2830E-12    55982.356481    55982.36034
1.1380E15     0.0000E00    1.6811E-10   5.5833E-12    55598.425278    55598.429771
5.5500E14     0.0000E00    9.5554E-11   2.7780E-12    53461.919178    53461.919924
1.1380E15     0.0000E00    1.5761E-10   5.2346E-12    56724.3939    56724.397147
1.3440E15     0.0000E00    1.1896E-10   4.6403E-12    53461.986296    53461.987433
1.4770E15     0.0000E00    1.8524E-10   6.1522E-12    55598.416979    55598.420998
1.4770E15     0.0000E00    3.0182E-10   1.0024E-11    55560.160706    55560.163597
1.1380E15     0.0000E00    1.0130E-10   3.3642E-12    53461.920856    53461.922377
1.3440E15     0.0000E00    1.8005E-10   5.9797E-12    55602.44838    55602.452637
1.3440E15     0.0000E00    2.0109E-10   6.6785E-12    56008.351076    56008.35448
1.4770E15     0.0000E00    1.1581E-10   3.8462E-12    53461.917535    53461.920582
1.3440E15     0.0000E00    1.8509E-10   6.1473E-12    55982.352373    55982.356357
1.4770E15     0.0000E00    1.7691E-10   5.8753E-12    56724.386238    56724.389949
1.3440E15     0.0000E00    2.4853E-10   8.2543E-12    56773.119294    56773.123709
1.1380E15     0.0000E00    2.1360E-10   7.0939E-12    56773.122512    56773.126735
1.1380E15     0.0000E00    2.0777E-10   6.9006E-12    56739.058229    56739.061714
1.3440E15     0.0000E00    2.4176E-10   8.0294E-12    56739.05434    56739.05812
1.4770E15     0.0000E00    2.3754E-10   7.8893E-12    56737.179861    56737.183342
1.3440E15     0.0000E00    1.9204E-10   6.3779E-12    55598.421134    55598.425153
5.5500E14     0.0000E00    1.4732E-10   4.2828E-12    56023.526308    56023.527274
1.4770E15     0.0000E00    1.6895E-10   5.6110E-12    55602.443993    55602.448251
1.1380E15     0.0000E00    2.1756E-10   7.2257E-12    56737.187049    56737.190201
1.3440E15     0.0000E00    3.1578E-10   1.0488E-11    55560.163704    55560.166595
1.1380E15     0.0000E00    2.7390E-10   9.0968E-12    55560.166701    55560.169386
1.3440E15     0.0000E00    2.5315E-10   8.4078E-12    56737.183438    56737.186934
1.4770E15     0.0000E00    2.0312E-10   6.7459E-12    56058.153947    56058.157427
1.3440E15     0.0000E00    2.1252E-10   8.2896E-12    56775.324375    56775.325872
8.5630E14     0.0000E00    1.7028E-10   5.6554E-12    56023.521262    56023.522227
1.4770E15     0.0000E00    2.0312E-10   6.7459E-12    56775.314387    56775.324146
1.3440E15     0.0000E00    1.9204E-10   6.3779E-12    56720.382789    56720.386603
1.1380E15     0.0000E00    1.6505E-10   5.4813E-12    56720.386725    56720.390194
1.4770E15     0.0000E00    1.9577E-10   6.5018E-12    55859.061019    55859.064878
1.4770E15     0.0000E00    1.7855E-10   5.9298E-12    56720.378854    56720.382668
1.4770E15     0.0000E00    2.2685E-10   7.5342E-12    57430.311319    57430.314916
1.1380E15     0.0000E00    1.7603E-10   5.8464E-12    56023.519248    56023.521182
1.1380E15     0.0000E00    1.6505E-10   5.4813E-12    56681.448102    56681.45131
1.1380E15     0.0000E00    2.0970E-10   6.9644E-12    56066.169815    56066.174211
1.1380E15     0.0000E00    1.7603E-10   5.8464E-12    55859.068981    55859.07284
1.1380E15     0.0000E00    1.5907E-10   5.2830E-12    55602.452755    55602.456172
1.1380E15     0.0000E00    2.0398E-10   6.7746E-12    55649.092454    55649.09644
1.3440E15     0.0000E00    2.3302E-10   7.7390E-12    55649.088067    55649.092326
1.1380E15     0.0000E00    1.8097E-10   6.0102E-12    56058.15735    56058.160832
1.4770E15     0.0000E00    1.9219E-10   6.3832E-12    56054.933808    56054.937485
1.3440E15     0.0000E00    2.1057E-10   6.9933E-12    56058.155648    56058.159129
1.3440E15     0.0000E00    2.3517E-10   7.8105E-12    55866.824178    55866.82798
1.1380E15     0.0000E00    1.8603E-10   6.1785E-12    55635.298252    55635.301319
1.4770E15     0.0000E00    1.8020E-10   5.9846E-12    55645.255984    55645.259786
1.4770E15     0.0000E00    1.9219E-10   6.3832E-12    56695.362627    56695.366429
8.5630E14     0.0000E00    7.5018E-11   1.9531E-12    53904.044942    53904.079631
1.1380E15     0.0000E00    7.7551E-11   2.5757E-12    53904.042488    53904.120498
1.3440E15     0.0000E00    9.1072E-11   3.0247E-12    53904.038819    53904.159338
1.3440E15     0.0000E00    1.9561E-10   6.4965E-12    55645.259907    55645.26371
1.3440E15     0.0000E00    1.9924E-10   6.6173E-12    56695.366551    56695.370353
1.4770E15     0.0000E00    2.2685E-10   7.5342E-12    57428.31169    57428.315458
1.3440E15     0.0000E00    1.9028E-10   6.3194E-12    56724.390069    56724.393781
1.1380E15     0.0000E00    2.0398E-10   6.7746E-12    57428.319468    57428.323516
1.3440E15     0.0000E00    2.4400E-10   8.1037E-12    57430.315035    57430.318632
1.1380E15     0.0000E00    1.6967E-10   5.6349E-12    56695.370475    56695.374218
1.1380E15     0.0000E00    2.0777E-10   6.9006E-12    57430.31875    57430.322141
1.3440E15     0.0000E00    2.4176E-10   8.0294E-12    57428.315579    57428.319348
1.1380E15     0.0000E00    1.7124E-10   5.6871E-12    55645.263831    55645.267286
1.4770E15     0.0000E00    9.0311E-11   2.9994E-12    53904.046227    53904.180012
1.4770E15     0.0000E00    1.9941E-10   6.6228E-12    56653.145278    56653.149125
1.1380E15     0.0000E00    2.0026E-10   6.6510E-12    55866.828102    55866.831864
1.3440E15     0.0000E00    1.3164E-10   4.3721E-12    54948.881678    54948.887688
1.4770E15     0.0000E00    1.2934E-10   4.2957E-12    54948.878461    54948.88447
1.4770E15     0.0000E00    1.5408E-10   5.1173E-12    57385.049456    57385.052973
1.1380E15     0.0000E00    1.7931E-10   5.9551E-12    55642.995903    55642.999921
1.1380E15     0.0000E00    1.1418E-10   3.7921E-12    54948.884907    54948.890008
1.1380E15     0.0000E00    1.5052E-10   1.0552E-11    57388.570532    57388.574216
1.4770E15     0.0000E00    1.7528E-10   1.5304E-11    57388.562639    57388.566464
1.3440E15     0.0000E00    1.7840E-10   1.2506E-11    57388.566586    57388.570411
1.3440E15     0.0000E00    2.0483E-10   6.8026E-12    55642.991285    55642.99577
1.1380E15     0.0000E00    1.1524E-10   3.8272E-12    55264.98831    55264.9916
1.3440E15     0.0000E00    1.3043E-10   4.3319E-12    55264.984387    55264.988189
1.3440E15     0.0000E00    2.4853E-10   8.2543E-12    56002.269769    56002.273366
1.1380E15     0.0000E00    1.4112E-10   4.6868E-12    57385.056713    57385.060325
1.3440E15     0.0000E00    1.5115E-10   5.0197E-12    55267.926262    55267.930064
1.1380E15     0.0000E00    1.3353E-10   4.4349E-12    55267.930185    55267.933954
1.4770E15     0.0000E00    1.2934E-10   4.2957E-12    55264.980463    55264.984265
1.4770E15     0.0000E00    1.4988E-10   4.9777E-12    55267.922338    55267.92614
1.4770E15     0.0000E00    3.0182E-10   1.0024E-11    56302.474433    56302.479374
1.4770E15     0.0000E00    2.3975E-10   7.9622E-12    55633.093669    55633.09861
1.1380E15     0.0000E00    1.3982E-10   4.6439E-12    57379.464688    57379.46661
1.1380E15     0.0000E00    2.7138E-10   9.0133E-12    56302.484595    56302.489478
1.3440E15     0.0000E00    3.1578E-10   1.0488E-11    56302.479514    56302.484455
1.3440E15     0.0000E00    1.6421E-10   5.4535E-12    57385.053079    57385.056596
1.1380E15     0.0000E00    2.1164E-10   7.0288E-12    56002.273472    56002.277004
1.3440E15     0.0000E00    1.3164E-10   4.3721E-12    55713.966956    55713.971282
1.4770E15     0.0000E00    1.3544E-10   4.4982E-12    55326.886875    55326.890677
8.5630E14     0.0000E00    9.9811E-11   4.1045E-12    57026.253461    57026.253735
1.3440E15     0.0000E00    1.1465E-10   4.4724E-12    55365.910544    55365.913663
1.4770E15     0.0000E00    1.1370E-10   3.7761E-12    55365.907326    55365.910445
1.1380E15     0.0000E00    9.5849E-11   3.1833E-12    55360.078183    55360.082548
1.1380E15     0.0000E00    1.0223E-10   3.3954E-12    55365.913773    55365.918267
1.3440E15     0.0000E00    1.0849E-10   3.6032E-12    55360.073565    55360.07805
1.1380E15     0.0000E00    1.2067E-10   4.0076E-12    55947.139664    55947.143005
1.4770E15     0.0000E00    1.2934E-10   4.2957E-12    55713.9625    55713.966827
1.4770E15     0.0000E00    1.0660E-10   3.5404E-12    55360.068947    55360.073433
8.5630E14     0.0000E00    1.6412E-10   5.4508E-12    57405.450556    57405.451476
1.3440E15     0.0000E00    1.5395E-10   5.1130E-12    55306.131516    55306.134635
1.1380E15     0.0000E00    1.3109E-10   4.3539E-12    55326.894722    55326.897851
1.3440E15     0.0000E00    1.4838E-10   4.9281E-12    55326.890799    55326.894601
1.4770E15     0.0000E00    2.0312E-10   6.7459E-12    55986.360289    55986.364228
1.1380E15     0.0000E00    1.3231E-10   4.3942E-12    55306.134757    55306.137437
1.3440E15     0.0000E00    1.3912E-10   4.6204E-12    55947.135706    55947.139542
1.4770E15     0.0000E00    1.5408E-10   5.1173E-12    55306.128299    55306.131417
1.1380E15     0.0000E00    1.1313E-10   3.7574E-12    55711.160382    55711.163812
1.3440E15     0.0000E00    1.1360E-10   3.7730E-12    54569.212396    54569.218562
1.4770E15     0.0000E00    1.2816E-10   4.2563E-12    55711.152083    55711.156113
1.3440E15     0.0000E00    2.0672E-10   6.8657E-12    55986.364352    55986.368291
1.1380E15     0.0000E00    1.7766E-10   5.9005E-12    55986.368414    55986.372831
1.1380E15     0.0000E00    1.1738E-10   3.8984E-12    55713.971435    55713.975615
1.1380E15     0.0000E00    1.1846E-10   3.9344E-12    55330.895637    55330.898548
1.3440E15     0.0000E00    1.9381E-10   6.4370E-12    57408.194456    57408.197666
1.4770E15     0.0000E00    1.8187E-10   6.0400E-12    57408.191134    57408.194344
1.3440E15     0.0000E00    1.3533E-10   4.4945E-12    55330.892176    55330.895522
1.1380E15     0.0000E00    1.6353E-10   5.4311E-12    54977.042257    54977.045167
1.3440E15     0.0000E00    1.3043E-10   4.3319E-12    55711.156227    55711.160257
1.4770E15     0.0000E00    1.9219E-10   6.3832E-12    55642.986667    55642.991152
1.3440E15     0.0000E00    1.9028E-10   7.4222E-12    54977.04088    54977.042175
1.4770E15     0.0000E00    1.7208E-10   5.7153E-12    54977.039514    54977.055991
1.1380E15     0.0000E00    1.6203E-10   5.3812E-12    57408.197766    57408.200615
1.3440E15     0.0000E00    1.1787E-10   3.9145E-12    55382.752569    55382.75744
1.4770E15     0.0000E00    1.8187E-10   6.0400E-12    57405.451574    57405.455285
1.1380E15     0.0000E00    1.1956E-10   3.9708E-12    55715.909896    55715.913119
1.4770E15     0.0000E00    1.2698E-10   4.2173E-12    55330.888715    55330.892062
1.1380E15     0.0000E00    1.3601E-10   4.5174E-12    57422.138067    57422.140215
1.3440E15     0.0000E00    1.3658E-10   4.5361E-12    55715.905984    55715.909786
1.1380E15     0.0000E00    1.6811E-10   5.5833E-12    57405.448623    57405.450477
1.4770E15     0.0000E00    1.4313E-10   4.7537E-12    57422.133634    57422.135762
1.4770E15     0.0000E00    1.3420E-10   4.4570E-12    55715.90206    55715.905862
5.5500E14     0.0000E00    1.4069E-10   4.0901E-12    57364.437639    57364.438593
1.1380E15     0.0000E00    2.0970E-10   6.9644E-12    57026.251563    57026.253382
1.3440E15     0.0000E00    1.6573E-10   5.5040E-12    57364.438657    57364.442274
8.5630E14     0.0000E00    1.4427E-10   4.7914E-12    57364.432639    57364.433593
5.5500E14     0.0000E00    1.4597E-10   4.2436E-12    57405.455394    57405.456314
1.3440E15     0.0000E00    1.5395E-10   6.0054E-12    57422.135845    57422.137973
1.1380E15     0.0000E00    1.7441E-10   5.7928E-12    56041.927002    56041.930159
1.3440E15     0.0000E00    1.9741E-10   7.7008E-12    56041.925625    56041.926922
1.3440E15     0.0000E00    2.2253E-10   7.3907E-12    55685.950498    55685.9543
1.3440E15     0.0000E00    1.8172E-10   6.0351E-12    55694.569005    55694.57365
1.4770E15     0.0000E00    1.5694E-10   5.2124E-12    56041.165926    56041.169272
1.4770E15     0.0000E00    1.7691E-10   5.8753E-12    55694.564225    55694.56887
1.1380E15     0.0000E00    1.5332E-10   5.0919E-12    56041.172847    56041.175629
1.4770E15     0.0000E00    1.6283E-10   5.4081E-12    55698.1764    55698.180613
1.4770E15     0.0000E00    2.5104E-10   8.3375E-12    56064.154398    56064.158178
1.4770E15     0.0000E00    1.9043E-10   6.3247E-12    56041.924248    56041.927979
1.4770E15     0.0000E00    2.0126E-10   6.6840E-12    56052.93941    56052.943075
1.3440E15     0.0000E00    1.8005E-10   5.9797E-12    56044.179375    56044.183359
1.1380E15     0.0000E00    1.5617E-10   5.1866E-12    56044.183495    56044.187421
1.4770E15     0.0000E00    1.7051E-10   5.6628E-12    56044.175278    56044.179262
1.4770E15     0.0000E00    2.1665E-10   7.1952E-12    55685.946574    55685.950376
1.1380E15     0.0000E00    2.1756E-10   7.2257E-12    56064.162199    56064.165895
1.4770E15     0.0000E00    1.7528E-10   5.8216E-12    55678.24228    55678.247677
1.1380E15     0.0000E00    2.4299E-10   8.0703E-12    55624.593877    55624.59852
1.3440E15     0.0000E00    2.8274E-10   9.3903E-12    55624.589063    55624.593742
1.3440E15     0.0000E00    2.8274E-10   9.3903E-12    55672.156424    55672.160909
1.3440E15     0.0000E00    1.9204E-10   6.3779E-12    55682.13875    55682.143196
1.3440E15     0.0000E00    2.6508E-10   8.8040E-12    56076.787755    56076.791625
1.4770E15     0.0000E00    2.7024E-10   8.9750E-12    55624.584248    55624.588927
1.4770E15     0.0000E00    2.4196E-10   8.0359E-12    56002.266042    56002.269639
1.3440E15     0.0000E00    1.6726E-10   5.5550E-12    55698.180729    55698.184942
1.1380E15     0.0000E00    1.8603E-10   6.1785E-12    55678.253368    55678.258235
1.3440E15     0.0000E00    1.8853E-10   6.2615E-12    55678.247824    55678.253221
1.4770E15     0.0000E00    2.1665E-10   7.1952E-12    56004.070266    56004.074182
1.3440E15     0.0000E00    2.2458E-10   7.4589E-12    56004.074306    56004.078222
1.1380E15     0.0000E00    1.7603E-10   5.8464E-12    55682.14331    55682.14783
1.1380E15     0.0000E00    1.9301E-10   6.4104E-12    56004.078345    56004.081876
1.3440E15     0.0000E00    1.7195E-10   5.7106E-12    56041.169387    56041.172734
1.1380E15     0.0000E00    1.6203E-10   5.3812E-12    55694.573785    55694.578385
1.3440E15     0.0000E00    2.1448E-10   7.1233E-12    56033.148634    56033.15271
1.1380E15     0.0000E00    1.8603E-10   6.1785E-12    56033.152824    56033.156857
1.4770E15     0.0000E00    2.0881E-10   6.9348E-12    56033.144421    56033.148497
1.1380E15     0.0000E00    2.4751E-10   8.2203E-12    55670.224641    55670.229078
1.3440E15     0.0000E00    2.1847E-10   7.2558E-12    56037.291794    56037.295835
1.1380E15     0.0000E00    1.9301E-10   6.4104E-12    56037.295961    56037.299916
1.1380E15     0.0000E00    2.2781E-10   7.5663E-12    56076.791736    56076.795064
1.4770E15     0.0000E00    1.8187E-10   6.0400E-12    57453.311146    57453.314378
1.4770E15     0.0000E00    1.8020E-10   5.9846E-12    56056.203252    56056.206929
1.4770E15     0.0000E00    1.9219E-10   6.3832E-12    54974.159479    54974.17064
1.4770E15     0.0000E00    2.5807E-10   8.5711E-12    56076.78375    56076.78762
1.1380E15     0.0000E00    2.0026E-10   6.6510E-12    55685.954421    55685.958252
1.3440E15     0.0000E00    1.8681E-10   6.2041E-12    56056.207049    56056.210726
1.4770E15     0.0000E00    1.3669E-10   4.5399E-12    55947.131748    55947.135584
1.4770E15     0.0000E00    2.5807E-10   8.5711E-12    55659.243403    55659.248037
1.1380E15     0.0000E00    1.6054E-10   5.3320E-12    56056.210845    56056.214511
1.4770E15     0.0000E00    2.7024E-10   8.9750E-12    55670.215382    55670.219879
1.4770E15     0.0000E00    1.8524E-10   6.1522E-12    55682.134132    55682.138618
1.4770E15     0.0000E00    2.0126E-10   6.6840E-12    54974.360208    54974.370554
1.3440E15     0.0000E00    2.6265E-10   8.7233E-12    55659.248171    55659.252805
1.3440E15     0.0000E00    2.5315E-10   8.4078E-12    56064.158299    56064.162078
1.4770E15     0.0000E00    3.2790E-10   1.0890E-11    56291.380741    56291.385374
1.3440E15     0.0000E00    2.0863E-10   6.9291E-12    56052.943194    56052.94686
1.1380E15     0.0000E00    1.4507E-10   4.8182E-12    55698.185081    55698.188815
1.1380E15     0.0000E00    1.7766E-10   5.9005E-12    56052.946979    56052.950614
1.4770E15     0.0000E00    2.1465E-10   7.1292E-12    56037.287627    56037.291669
1.1380E15     0.0000E00    2.2993E-10   7.6363E-12    55659.25294    55659.25755
1.1380E15     0.0000E00    2.9484E-10   9.7923E-12    56291.390278    56291.395031
1.3440E15     0.0000E00    3.5268E-10   1.1713E-11    56291.385509    56291.390143
1.4770E15     0.0000E00    2.7526E-10   9.1419E-12    55672.151794    55672.15628
1.1380E15     0.0000E00    2.4980E-10   8.2963E-12    55672.161042    55672.165191
1.1380E15     0.0000E00    1.8097E-10   6.0102E-12    57404.14169    57404.145734
1.4770E15     0.0000E00    1.6740E-10   5.5596E-12    57387.764722    57387.768319
1.1380E15     0.0000E00    2.6400E-10   8.7677E-12    56302.688426    56302.701915
1.1380E15     0.0000E00    1.5191E-10   5.0453E-12    57387.772153    57387.775609
1.1380E15     0.0000E00    1.3855E-10   9.7125E-12    57386.50787    57386.51171
1.1380E15     0.0000E00    1.8097E-10   6.0102E-12    56021.919433    56021.922841
1.3440E15     0.0000E00    1.7840E-10   5.9249E-12    57387.768438    57387.772035
1.4770E15     0.0000E00    1.6586E-10   1.1628E-11    57386.500359    57386.504001
1.3440E15     0.0000E00    2.3954E-10   7.9557E-12    55627.147292    55627.150866
1.3440E15     0.0000E00    2.5787E-10   8.5640E-12    56307.423438    56307.436134
1.4770E15     0.0000E00    2.8823E-10   9.5728E-12    56302.959421    56302.962039
1.1380E15     0.0000E00    2.6157E-10   8.6873E-12    56302.96485    56302.967293
1.3440E15     0.0000E00    1.8853E-10   1.3217E-11    57389.631296    57389.635018
1.1380E15     0.0000E00    1.5761E-10   1.1049E-11    57389.635116    57389.638801
1.3440E15     0.0000E00    2.5084E-10   8.3306E-12    55633.09875    55633.103691
1.4770E15     0.0000E00    2.0689E-10   6.8713E-12    56021.912315    56021.915764
1.4770E15     0.0000E00    1.5267E-10   5.0703E-12    57382.852292    57382.856117
1.3440E15     0.0000E00    1.3912E-10   4.6204E-12    57376.530637    57376.53666
1.4770E15     0.0000E00    1.2934E-10   4.2957E-12    57376.524456    57376.53048
1.4770E15     0.0000E00    1.4988E-10   4.9777E-12    57374.20397    57374.210392
1.3440E15     0.0000E00    1.5538E-10   5.1603E-12    57374.47081    57374.480394
1.1380E15     0.0000E00    1.3231E-10   4.3942E-12    57374.217164    57374.23809
1.1380E15     0.0000E00    2.1756E-10   7.2257E-12    55633.103831    55633.108259
1.1380E15     0.0000E00    1.3601E-10   4.5174E-12    57364.430637    57364.432548
1.1380E15     0.0000E00    1.1956E-10   3.9708E-12    57376.405752    57376.413669
1.3440E15     0.0000E00    1.6270E-10   1.1406E-11    57386.504109    57386.507751
1.4770E15     0.0000E00    1.9043E-10   1.3350E-11    57389.627419    57389.631176
1.3440E15     0.0000E00    1.6573E-10   5.5040E-12    57382.856238    57382.860063
1.1380E15     0.0000E00    1.3982E-10   4.6439E-12    57382.860185    57382.863806
1.4770E15     0.0000E00    2.3754E-10   7.8893E-12    56307.092095    56307.107124
1.1380E15     0.0000E00    2.1164E-10   7.0288E-12    56307.104248    56307.118724
1.4770E15     0.0000E00    2.4421E-10   8.1103E-12    56307.351146    56307.375249
1.3440E15     0.0000E00    2.4853E-10   8.2543E-12    56307.098171    56307.113201
1.1380E15     0.0000E00    2.1756E-10   7.2257E-12    56307.374549    56307.396133
1.3440E15     0.0000E00    2.1847E-10   7.2558E-12    57403.39816    57403.401996
1.1380E15     0.0000E00    1.8433E-10   6.1218E-12    57403.402118    57403.405471
1.4770E15     0.0000E00    2.0312E-10   6.7459E-12    57403.394201    57403.398038
1.3440E15     0.0000E00    2.1647E-10   7.1892E-12    57404.137593    57404.141566
1.4770E15     0.0000E00    2.0500E-10   6.8082E-12    57404.133495    57404.137468
1.1380E15     0.0000E00    2.0026E-10   6.6510E-12    57394.17125    57394.172857
1.3440E15     0.0000E00    2.1252E-10   7.0580E-12    56021.91588    56021.919329
1.1380E15     0.0000E00    2.2573E-10   7.4970E-12    55631.351285    55631.355474
1.3440E15     0.0000E00    1.9561E-10   6.4965E-12    57405.456377    57405.460322
1.4770E15     0.0000E00    2.1665E-10   7.1952E-12    55554.462257    55554.466059
1.1380E15     0.0000E00    1.9301E-10   6.4104E-12    55554.470116    55554.473542
1.1380E15     0.0000E00    2.1557E-10   7.1595E-12    55627.150984    55627.154098
1.3440E15     0.0000E00    2.6265E-10   8.7233E-12    55631.346817    55631.351143
1.4770E15     0.0000E00    2.5571E-10   8.4925E-12    55631.342361    55631.346687
1.4770E15     0.0000E00    2.2272E-10   7.3968E-12    55627.143611    55627.147185
1.3440E15     0.0000E00    2.2458E-10   7.4589E-12    55554.466181    55554.469983
1.3440E15     0.0000E00    2.9880E-10   9.9238E-12    56302.96213    56302.964747
1.4770E15     0.0000E00    1.1796E-10   3.9178E-12    55382.750035    55382.754905
1.4770E15     0.0000E00    2.9090E-10   9.6613E-12    56302.808924    56302.814321
1.3440E15     0.0000E00    3.0436E-10   1.0108E-11    56302.682072    56302.696645
1.3440E15     0.0000E00    1.9381E-10   6.4370E-12    57400.213657    57400.217471
1.1380E15     0.0000E00    1.6353E-10   5.4311E-12    57400.217581    57400.220943
1.3440E15     0.0000E00    2.6754E-10   8.8855E-12    56310.170891    56310.174887
1.4770E15     0.0000E00    1.5267E-10   5.0703E-12    57364.433692    57364.437506
1.4770E15     0.0000E00    1.8354E-10   6.0960E-12    57400.209699    57400.213513
1.3440E15     0.0000E00    1.9381E-10   6.4370E-12    57400.407361    57400.411198
1.1380E15     0.0000E00    1.6203E-10   5.3812E-12    57400.411319    57400.414925
1.4770E15     0.0000E00    1.8020E-10   5.9846E-12    57400.403403    57400.407239
1.3440E15     0.0000E00    1.9924E-10   6.6173E-12    57402.208056    57402.211858
1.4770E15     0.0000E00    1.8524E-10   6.1522E-12    57402.204132    57402.207934
1.1380E15     0.0000E00    1.6657E-10   5.5320E-12    57402.211979    57402.215197
1.3440E15     0.0000E00    2.8274E-10   9.3903E-12    55670.220012    55670.224509
1.4770E15     0.0000E00    1.4182E-10   4.7101E-12    57551.82213    57551.825533
1.1380E15     0.0000E00    1.2990E-10   4.3141E-12    57551.829155    57551.832551
1.3440E15     0.0000E00    1.4976E-10   4.9737E-12    57551.825648    57551.829052
1.4770E15     0.0000E00    1.4851E-10   4.9321E-12    57551.281366    57551.284063
1.3440E15     0.0000E00    1.9741E-10   6.5566E-12    57453.314491    57453.317723
1.3440E15     0.0000E00    2.3735E-10   7.8828E-12    57432.307303    57432.311618
1.1380E15     0.0000E00    2.0212E-10   6.7126E-12    57432.311748    57432.315876
1.1380E15     0.0000E00    1.6967E-10   5.6349E-12    57453.317836    57453.32076
1.4770E15     0.0000E00    2.2272E-10   7.3968E-12    57432.302859    57432.307173
1.3440E15     0.0000E00    1.6270E-10   5.4035E-12    57517.919433    57517.923474
1.4770E15     0.0000E00    1.3923E-10   4.6242E-12    57538.253646    57538.25558
1.4770E15     0.0000E00    1.5127E-10   5.0238E-12    57517.915266    57517.919308
1.1380E15     0.0000E00    1.3982E-10   4.6439E-12    57517.9236    57517.927683
1.3440E15     0.0000E00    2.4176E-10   8.0294E-12    56761.451366    56761.455794
1.1380E15     0.0000E00    1.1956E-10   3.9708E-12    57513.943762    57513.947137
1.4770E15     0.0000E00    1.2934E-10   4.2957E-12    57513.936748    57513.94014
1.3440E15     0.0000E00    1.6421E-10   5.4535E-12    57519.918218    57519.921815
1.4770E15     0.0000E00    1.4851E-10   4.9321E-12    57550.411169    57550.420678
1.3440E15     0.0000E00    1.6121E-10   6.2884E-12    57550.420903    57550.422654
1.3440E15     0.0000E00    1.5538E-10   6.0609E-12    57551.284178    57551.286875
1.3440E15     0.0000E00    2.3517E-10   7.8105E-12    56772.934942    56772.938744
1.4770E15     0.0000E00    2.2895E-10   7.6039E-12    56772.931007    56772.934809
1.3440E15     0.0000E00    2.1647E-10   7.1892E-12    56775.25772    56775.261385
1.4770E15     0.0000E00    2.4421E-10   8.1103E-12    56755.926528    56755.930341
1.1380E15     0.0000E00    2.0398E-10   6.7746E-12    56753.056192    56753.05964
1.4770E15     0.0000E00    2.2895E-10   7.6039E-12    56753.0489    56753.052429
1.3440E15     0.0000E00    2.6265E-10   8.7233E-12    56755.930463    56755.934277
1.1380E15     0.0000E00    2.2573E-10   7.4970E-12    56755.934398    56755.938103
